time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445650000	13.9298	2.70158	5.05361	0.458718	0.286289	radar	2272.94	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.159	2.85552	5.08573	0.490618	0.307537	lidar	7935.24	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4101	2.96837	5.18894	0.493513	0.287289	radar	2523.86	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6167	3.03787	5.12068	0.487053	0.262409	lidar	8196.64	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8486	3.19502	5.20654	0.512147	0.273809	radar	2666.58	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.058	3.38791	5.23533	0.556315	0.310695	lidar	8968.96	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.268	3.55594	5.19705	0.589252	0.335739	radar	2871.31	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4829	3.74294	5.23307	0.623216	0.356331	lidar	9629.91	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6936	3.87812	5.20948	0.633461	0.347795	radar	2909.43	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9161	4.01897	5.21308	0.64178	0.336813	lidar	10216.6	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1105	4.18033	5.13274	0.668241	0.355077	radar	3179.91	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.308	4.37454	5.16404	0.699868	0.371618	lidar	10788.3	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5183	4.53965	5.19124	0.712864	0.363382	radar	3372.93	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6963	4.70479	5.16544	0.73235	0.365104	lidar	11202.1	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8485	4.89086	5.01542	0.775374	0.408984	radar	3472.34	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0118	5.11665	5.0556	0.8175	0.434768	lidar	11898.8	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1822	5.28263	5.01492	0.833644	0.43048	radar	3572.96	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3402	5.46237	4.9971	0.854526	0.429814	lidar	12365.1	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4971	5.62565	4.93259	0.870666	0.427323	radar	3687.13	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6886	5.74674	4.87898	0.858105	0.387306	lidar	13093.7	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8339	5.93663	4.82608	0.887337	0.405347	radar	3974.49	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0064	6.13024	4.85431	0.902965	0.399781	lidar	13797.8	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1577	6.33527	4.88218	0.925644	0.401883	radar	4182.05	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2783	6.57786	4.92337	0.968406	0.428563	lidar	14157.1	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4113	6.78893	4.91778	0.99501	0.436739	radar	4318.61	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5584	6.92311	4.82721	0.988329	0.403484	lidar	14648.6	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7091	7.1293	4.88834	0.997796	0.384141	radar	4523.67	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9059	7.26774	4.84278	0.974484	0.334558	lidar	15717.6	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9959	7.46319	4.73279	1.01205	0.36956	radar	4430.95	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0851	7.73482	4.80939	1.06302	0.40749	lidar	15926.3	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2076	7.93942	4.8182	1.07681	0.397311	radar	4788.15	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2858	8.15864	4.80378	1.10979	0.412418	lidar	16247.2	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3861	8.36784	4.81849	1.1253	0.400556	radar	4778.91	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.481	8.51275	4.70041	1.12736	0.37987	lidar	16660.6	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.574	8.71697	4.66529	1.14872	0.386227	radar	5065.29	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7348	8.89378	4.64759	1.13437	0.347784	lidar	18008.8	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8104	9.11058	4.60676	1.16641	0.37217	radar	5287.1	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9386	9.3438	4.66222	1.17582	0.361873	lidar	18636.4	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9866	9.55906	4.57897	1.21865	0.40353	radar	5353.24	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0714	9.80646	4.63479	1.24351	0.409019	lidar	18965.3	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1327	10.0569	4.70231	1.27088	0.411413	radar	5679.6	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1785	10.3382	4.78613	1.31214	0.43492	lidar	19402	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1954	10.5715	4.72902	1.35988	0.476888	radar	5642.08	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2517	10.8518	4.81487	1.38977	0.483599	lidar	20146.3	20.371	11.0109	20.1663	10.864	0.722256	4.7934
